source_id,ra,dec,parallax,Gaia_G-Gaia_Bp,Gaia_G-Gaia_Rp,Gaia_Bp-Gaia_Rp,Jmag-Hmag,Jmag-Kmag,Hmag-Kmag,W1-W2,Gaia_G,Gaia_Bp,Gaia_Rp,Jmag,Hmag,Kmag,W1,W2,prob_enn,prob_tomek,prob_smt,ponderacion
6055660556004956288,194.46226631347568,-61.65784510377563,0.4524410551954339,-1.6563644,1.2445288,2.9008932,0.6670003,1.0950003,0.42799997,0.29600000000000026,10.706613,12.362977,9.462084,7.315,6.648,6.22,6.016,5.72,0.7614186,0.9323037,0.93585163,0.8765246
6073546754019223424,190.07654839712436,-55.504380937587285,0.22620875073709015,-0.9509821,0.9673166,1.9182987,0.8249998,1.368,0.5430002,0.7189999999999994,12.437283,13.388265,11.469966,9.958,9.133,8.59,7.704,6.985,0.9972,0.79377186,0.8227183,0.87123007
6060713636588270976,195.69193442738316,-56.03711812895803,0.14485651580807446,-1.347393,1.1248627,2.4722557,0.97899914,1.4789991,0.5,-0.07899999999999885,13.239128,14.586521,12.114265,10.131,9.152,8.652,8.063,8.142,0.9559846,0.76151127,0.87058854,0.8626948
5863427234406008704,194.456222634552,-62.4062932317124,0.2698724130215136,-1.6862583,1.2681723,2.9544306,1.7019997,2.6869993,0.98499966,0.351,13.768781,15.455039,12.500608,9.664,7.962,6.977,6.178,5.827,0.9907075,0.730945,0.72485906,0.81550384
5862472961409153152,198.3974565252909,-62.847378336506786,0.20942033587995,-1.370532,1.1499844,2.5205164,0.54100037,0.86800003,0.32699966,0.11500000000000021,12.454849,13.825381,11.304865,9.474,8.933,8.606,8.311,8.196,0.90593106,0.75964284,0.75136286,0.8056455
5865749780941355904,203.75796056778614,-61.97734813680388,0.2575641027350671,-1.5807323,1.2148113,2.7955437,0.6960001,1.2449999,0.5489998,0.40000000000000036,13.271571,14.8523035,12.05676,10.005,9.309,8.76,8.035,7.635,0.99903464,0.9585801,0.9546538,0.9707561
5867735258425947520,212.05234876051682,-59.54712913241427,0.28134030899941265,-1.1819735,1.09058,2.2725534,0.4710002,0.87800026,0.40700006,0.5009999999999994,10.857701,12.039675,9.767121,8.102,7.631,7.224,6.869,6.368,0.98902994,0.9849555,0.9851987,0.9863947
5866281772758200448,210.24660715270997,-61.89450840477742,0.2396893725866706,-1.7862301,1.2661877,3.0524178,0.7939997,1.3549995,0.5609999,0.3420000000000005,14.945431,16.73166,13.679243,11.259,10.465,9.904,9.372,9.03,0.9955532,0.94414514,0.9494561,0.9630515
5886346618695908736,229.91201841103828,-56.57052070871698,0.36864518841258825,-1.6264505,1.2226543,2.849105,0.8670006,1.6030002,0.7359996,1.109,12.391915,14.018366,11.169261,8.97,8.103,7.367,6.033,4.924,0.9964735,0.9090024,0.89680976,0.9340952
5886272955724681216,229.46378783539046,-56.42320051591343,0.2535753932139633,-1.7619143,1.2539663,3.0158806,0.7049999,1.198,0.49300003,0.2810000000000006,14.190722,15.952637,12.936756,10.707,10.002,9.509,9.128,8.847,0.99567646,0.6453376,0.7302573,0.7904238
